
> lost-website@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.16.1.223:3000
- Environments: .env.local, .env

✓ Starting...
✓ Ready in 1198ms
 POST /api/internal/discord/role_sync/pull 200 in 2.1s (compile: 204ms, render: 1887ms)
 POST /api/internal/discord/events/pull 200 in 2.4s (compile: 249ms, render: 2.1s)
 POST /api/internal/discord/runtime-config 200 in 1993ms (compile: 1028ms, render: 965ms)
 POST /api/internal/discord/events/pull 200 in 253ms (compile: 4ms, render: 249ms)
 POST /api/internal/discord/role_sync/pull 200 in 263ms (compile: 2ms, render: 260ms)
 POST /api/internal/discord/events/pull 200 in 175ms (compile: 5ms, render: 170ms)
 POST /api/internal/discord/role_sync/pull 200 in 138ms (compile: 5ms, render: 133ms)
 POST /api/internal/discord/events/pull 200 in 213ms (compile: 3ms, render: 210ms)
 POST /api/internal/discord/role_sync/pull 200 in 144ms (compile: 4ms, render: 140ms)
 POST /api/internal/discord/events/pull 200 in 164ms (compile: 3ms, render: 161ms)
 POST /api/internal/discord/role_sync/pull 200 in 196ms (compile: 5ms, render: 191ms)
 POST /api/internal/discord/events/pull 200 in 136ms (compile: 3ms, render: 133ms)
 GET /dashboard?view=webhooks 200 in 1230ms (compile: 952ms, proxy.ts: 52ms, render: 226ms)
 GET /api/settings/public 200 in 104ms (compile: 36ms, render: 67ms)
 GET /api/auth/session 200 in 614ms (compile: 602ms, render: 12ms)
 GET /api/stats 200 in 182ms (compile: 32ms, render: 150ms)
 GET /api/me 404 in 209ms (compile: 51ms, render: 158ms)
 GET /api/users 404 in 207ms (compile: 58ms, render: 148ms)
 GET /api/guilds 404 in 200ms (compile: 89ms, render: 111ms)
 GET /api/activity 404 in 199ms (compile: 96ms, render: 104ms)
 GET /api/chats 404 in 200ms (compile: 103ms, render: 97ms)
 GET /api/config 404 in 41ms (compile: 4ms, render: 37ms)
 GET /api/admin/webhooks 200 in 114ms (compile: 22ms, proxy.ts: 2ms, render: 90ms)
 GET /api/admin/webhooks 200 in 46ms (compile: 1025µs, proxy.ts: 1737µs, render: 43ms)
 POST /api/internal/discord/events/pull 200 in 168ms (compile: 1680µs, render: 166ms)
 POST /api/internal/discord/role_sync/pull 200 in 163ms (compile: 3ms, render: 161ms)
 POST /api/internal/discord/events/pull 200 in 134ms (compile: 4ms, render: 130ms)
 POST /api/internal/discord/role_sync/pull 200 in 213ms (compile: 5ms, render: 208ms)
 POST /api/internal/discord/events/pull 200 in 267ms (compile: 3ms, render: 263ms)
 POST /api/internal/discord/role_sync/pull 200 in 1565ms (compile: 113ms, render: 1452ms)
 POST /api/internal/discord/events/pull 200 in 868ms (compile: 48ms, render: 820ms)
 POST /api/internal/discord/role_sync/pull 200 in 175ms (compile: 4ms, render: 171ms)
 POST /api/internal/discord/events/pull 200 in 231ms (compile: 1530µs, render: 230ms)
 POST /api/internal/discord/events/pull 200 in 133ms (compile: 3ms, render: 131ms)
 POST /api/internal/discord/role_sync/pull 200 in 226ms (compile: 4ms, render: 222ms)
 POST /api/internal/discord/events/pull 200 in 234ms (compile: 1821µs, render: 232ms)
 POST /api/internal/discord/role_sync/pull 200 in 135ms (compile: 3ms, render: 132ms)
 GET /api/stats 200 in 131ms (compile: 21ms, render: 110ms)
 GET /api/me 404 in 109ms (compile: 11ms, render: 98ms)
 GET /api/users 404 in 120ms (compile: 28ms, render: 93ms)
 GET /api/guilds 404 in 115ms (compile: 39ms, render: 76ms)
 GET /api/activity 404 in 78ms (compile: 21ms, render: 57ms)
 GET /api/chats 404 in 78ms (compile: 29ms, render: 49ms)
 GET /api/config 404 in 19ms (compile: 3ms, render: 16ms)
 POST /api/internal/discord/events/pull 200 in 140ms (compile: 4ms, render: 136ms)
 POST /api/internal/discord/role_sync/pull 200 in 123ms (compile: 967µs, render: 122ms)
 POST /api/internal/discord/events/pull 200 in 223ms (compile: 3ms, render: 220ms)
 POST /api/internal/discord/role_sync/pull 200 in 314ms (compile: 4ms, render: 310ms)
 POST /api/internal/discord/events/pull 200 in 146ms (compile: 3ms, render: 143ms)
 POST /api/internal/discord/events/pull 200 in 136ms (compile: 3ms, render: 134ms)
 POST /api/internal/discord/role_sync/pull 200 in 138ms (compile: 5ms, render: 133ms)
 POST /api/internal/discord/events/pull 200 in 245ms (compile: 3ms, render: 242ms)
 POST /api/internal/discord/role_sync/pull 200 in 169ms (compile: 5ms, render: 165ms)
 POST /api/internal/discord/events/pull 200 in 146ms (compile: 3ms, render: 143ms)
 POST /api/internal/discord/role_sync/pull 200 in 130ms (compile: 3ms, render: 126ms)
 POST /api/internal/discord/events/pull 200 in 219ms (compile: 3ms, render: 215ms)
 POST /api/internal/discord/role_sync/pull 200 in 222ms (compile: 3ms, render: 219ms)
 POST /api/internal/discord/events/pull 200 in 138ms (compile: 3ms, render: 135ms)
 GET /api/users 404 in 133ms (compile: 31ms, render: 102ms)
 GET /api/chats 404 in 120ms (compile: 70ms, render: 50ms)
 GET /api/guilds 404 in 128ms (compile: 91ms, render: 37ms)
 GET /api/me 404 in 136ms (compile: 51ms, render: 85ms)
 GET /api/activity 404 in 122ms (compile: 79ms, render: 44ms)
 GET /api/config 404 in 19ms (compile: 3ms, render: 16ms)
 GET /api/stats 200 in 269ms (compile: 19ms, render: 250ms)
 POST /api/internal/discord/events/pull 200 in 140ms (compile: 3ms, render: 137ms)
 POST /api/internal/discord/role_sync/pull 200 in 134ms (compile: 4ms, render: 131ms)
 POST /api/internal/discord/events/pull 200 in 214ms (compile: 6ms, render: 208ms)
 POST /api/internal/discord/role_sync/pull 200 in 165ms (compile: 4ms, render: 161ms)
 POST /api/internal/discord/events/pull 200 in 144ms (compile: 3ms, render: 141ms)
 POST /api/internal/discord/role_sync/pull 200 in 168ms (compile: 4ms, render: 164ms)
 POST /api/internal/discord/events/pull 200 in 177ms (compile: 11ms, render: 166ms)
 POST /api/internal/discord/role_sync/pull 200 in 162ms (compile: 2ms, render: 160ms)
 POST /api/internal/discord/events/pull 200 in 145ms (compile: 3ms, render: 142ms)
 POST /api/internal/discord/events/pull 200 in 130ms (compile: 1648µs, render: 129ms)
 POST /api/internal/discord/role_sync/pull 200 in 219ms (compile: 3ms, render: 216ms)
 POST /api/internal/discord/events/pull 200 in 233ms (compile: 4ms, render: 229ms)
 POST /api/internal/discord/role_sync/pull 200 in 137ms (compile: 3ms, render: 134ms)
 GET /api/stats 200 in 106ms (compile: 10ms, render: 96ms)
 GET /api/me 404 in 150ms (compile: 23ms, render: 127ms)
 GET /api/users 404 in 130ms (compile: 39ms, render: 90ms)
 GET /api/guilds 404 in 95ms (compile: 20ms, render: 76ms)
 GET /api/activity 404 in 92ms (compile: 35ms, render: 57ms)
 GET /api/chats 404 in 77ms (compile: 41ms, render: 36ms)
 GET /api/config 404 in 19ms (compile: 3ms, render: 16ms)
 POST /api/internal/discord/events/pull 200 in 139ms (compile: 3ms, render: 136ms)
 POST /api/internal/discord/role_sync/pull 200 in 139ms (compile: 3ms, render: 136ms)
 POST /api/internal/discord/events/pull 200 in 221ms (compile: 5ms, render: 216ms)
 POST /api/internal/discord/role_sync/pull 200 in 205ms (compile: 4ms, render: 201ms)
 POST /api/internal/discord/events/pull 200 in 140ms (compile: 3ms, render: 137ms)
 POST /api/internal/discord/events/pull 200 in 136ms (compile: 3ms, render: 134ms)
 POST /api/internal/discord/role_sync/pull 200 in 140ms (compile: 4ms, render: 136ms)
 POST /api/internal/discord/events/pull 200 in 245ms (compile: 4ms, render: 242ms)
 POST /api/internal/discord/role_sync/pull 200 in 200ms (compile: 3ms, render: 197ms)
 POST /api/internal/discord/events/pull 200 in 134ms (compile: 3ms, render: 131ms)
 POST /api/internal/discord/role_sync/pull 200 in 140ms (compile: 5ms, render: 135ms)
 POST /api/internal/discord/events/pull 200 in 240ms (compile: 4ms, render: 236ms)
 POST /api/internal/discord/role_sync/pull 200 in 137ms (compile: 4ms, render: 133ms)
 GET /api/stats 200 in 88ms (compile: 11ms, render: 78ms)
 GET /api/users 404 in 121ms (compile: 25ms, render: 96ms)
 GET /api/me 404 in 130ms (compile: 24ms, render: 106ms)
 GET /api/activity 404 in 67ms (compile: 21ms, render: 46ms)
 GET /api/guilds 404 in 118ms (compile: 52ms, render: 66ms)
 GET /api/chats 404 in 67ms (compile: 26ms, render: 41ms)
 GET /api/config 404 in 19ms (compile: 3ms, render: 16ms)
 POST /api/internal/discord/events/pull 200 in 267ms (compile: 3ms, render: 264ms)
 POST /api/internal/discord/events/pull 200 in 178ms (compile: 3ms, render: 175ms)
 POST /api/internal/discord/role_sync/pull 200 in 166ms (compile: 3ms, render: 163ms)
 POST /api/internal/discord/events/pull 200 in 572ms (compile: 1409µs, render: 570ms)
 POST /api/internal/discord/role_sync/pull 200 in 177ms (compile: 3ms, render: 174ms)
 POST /api/internal/discord/events/pull 200 in 138ms (compile: 3ms, render: 135ms)
 POST /api/internal/discord/role_sync/pull 200 in 207ms (compile: 3ms, render: 203ms)
 POST /api/internal/discord/events/pull 200 in 306ms (compile: 2ms, render: 304ms)
 POST /api/internal/discord/role_sync/pull 200 in 145ms (compile: 4ms, render: 140ms)
 POST /api/internal/discord/events/pull 200 in 202ms (compile: 3ms, render: 200ms)
 POST /api/internal/discord/events/pull 200 in 219ms (compile: 3ms, render: 216ms)
 POST /api/internal/discord/role_sync/pull 200 in 563ms (compile: 4ms, render: 559ms)
 POST /api/internal/discord/events/pull 200 in 187ms (compile: 5ms, render: 182ms)
 GET /api/guilds 404 in 94ms (compile: 24ms, render: 70ms)
 GET /api/me 404 in 110ms (compile: 18ms, render: 92ms)
 GET /api/users 404 in 96ms (compile: 32ms, render: 64ms)
 GET /api/activity 404 in 72ms (compile: 32ms, render: 39ms)
 GET /api/chats 404 in 43ms (compile: 21ms, render: 23ms)
 GET /api/config 404 in 17ms (compile: 3ms, render: 14ms)
 GET /api/stats 200 in 287ms (compile: 5ms, render: 282ms)
 POST /api/internal/discord/role_sync/pull 200 in 384ms (compile: 4ms, render: 380ms)
 POST /api/internal/discord/events/pull 200 in 259ms (compile: 4ms, render: 255ms)
 POST /api/internal/discord/role_sync/pull 200 in 136ms (compile: 3ms, render: 134ms)
 POST /api/internal/discord/events/pull 200 in 133ms (compile: 4ms, render: 129ms)
 POST /api/internal/discord/role_sync/pull 200 in 222ms (compile: 3ms, render: 219ms)
 POST /api/internal/discord/events/pull 200 in 132ms (compile: 3ms, render: 129ms)
 POST /api/internal/discord/events/pull 200 in 127ms (compile: 3ms, render: 124ms)
 POST /api/internal/discord/role_sync/pull 200 in 132ms (compile: 3ms, render: 129ms)
 POST /api/internal/discord/events/pull 200 in 159ms (compile: 4ms, render: 155ms)
 POST /api/internal/discord/role_sync/pull 200 in 191ms (compile: 1632µs, render: 190ms)
 POST /api/internal/discord/events/pull 200 in 199ms (compile: 3ms, render: 196ms)
 POST /api/internal/discord/role_sync/pull 200 in 134ms (compile: 3ms, render: 131ms)
 POST /api/internal/discord/events/pull 200 in 160ms (compile: 3ms, render: 157ms)
 GET /api/stats 200 in 106ms (compile: 5ms, render: 101ms)
 GET /api/users 404 in 98ms (compile: 7ms, render: 91ms)
 GET /api/activity 404 in 58ms (compile: 25ms, render: 32ms)
 GET /api/me 404 in 102ms (compile: 18ms, render: 84ms)
 GET /api/guilds 404 in 111ms (compile: 41ms, render: 70ms)
 GET /api/chats 404 in 50ms (compile: 17ms, render: 32ms)
 GET /api/config 404 in 17ms (compile: 4ms, render: 13ms)
 POST /api/internal/discord/role_sync/pull 200 in 130ms (compile: 6ms, render: 124ms)
 POST /api/internal/discord/events/pull 200 in 204ms (compile: 3ms, render: 202ms)
 POST /api/internal/discord/events/pull 200 in 160ms (compile: 4ms, render: 156ms)
 POST /api/internal/discord/role_sync/pull 200 in 194ms (compile: 3ms, render: 191ms)
 POST /api/internal/discord/events/pull 200 in 162ms (compile: 3ms, render: 159ms)
 POST /api/internal/discord/role_sync/pull 200 in 137ms (compile: 3ms, render: 134ms)
 POST /api/internal/discord/events/pull 200 in 206ms (compile: 3ms, render: 203ms)
 POST /api/internal/discord/role_sync/pull 200 in 209ms (compile: 3ms, render: 206ms)
 POST /api/internal/discord/events/pull 200 in 170ms (compile: 3ms, render: 167ms)
 POST /api/internal/discord/role_sync/pull 200 in 134ms (compile: 1872µs, render: 132ms)
 POST /api/internal/discord/events/pull 200 in 158ms (compile: 3ms, render: 155ms)
 POST /api/internal/discord/role_sync/pull 200 in 173ms (compile: 3ms, render: 170ms)
 POST /api/internal/discord/events/pull 200 in 166ms (compile: 2ms, render: 164ms)
 GET /api/me 404 in 102ms (compile: 21ms, render: 81ms)
 GET /api/users 404 in 100ms (compile: 9ms, render: 91ms)
 GET /api/activity 404 in 93ms (compile: 54ms, render: 39ms)
 GET /api/guilds 404 in 100ms (compile: 44ms, render: 56ms)
 GET /api/chats 404 in 40ms (compile: 22ms, render: 18ms)
 GET /api/stats 200 in 120ms (compile: 4ms, render: 115ms)
 GET /api/config 404 in 17ms (compile: 2ms, render: 15ms)
 POST /api/internal/discord/events/pull 200 in 143ms (compile: 3ms, render: 140ms)
 POST /api/internal/discord/role_sync/pull 200 in 176ms (compile: 3ms, render: 173ms)
 POST /api/internal/discord/events/pull 200 in 287ms (compile: 5ms, render: 282ms)
 POST /api/internal/discord/role_sync/pull 200 in 146ms (compile: 3ms, render: 143ms)
 POST /api/internal/discord/events/pull 200 in 167ms (compile: 3ms, render: 164ms)
 POST /api/internal/discord/role_sync/pull 200 in 215ms (compile: 4ms, render: 211ms)
 POST /api/internal/discord/events/pull 200 in 173ms (compile: 3ms, render: 170ms)
 POST /api/internal/discord/role_sync/pull 200 in 141ms (compile: 3ms, render: 138ms)
 POST /api/internal/discord/events/pull 200 in 215ms (compile: 3ms, render: 212ms)
 POST /api/internal/discord/events/pull 200 in 168ms (compile: 3ms, render: 165ms)
 POST /api/internal/discord/role_sync/pull 200 in 239ms (compile: 3ms, render: 236ms)
 POST /api/internal/discord/events/pull 200 in 168ms (compile: 3ms, render: 166ms)
 POST /api/internal/discord/role_sync/pull 200 in 139ms (compile: 3ms, render: 136ms)
 POST /api/internal/discord/events/pull 200 in 257ms (compile: 3ms, render: 254ms)
 GET /api/stats 200 in 79ms (compile: 3ms, render: 76ms)
 GET /api/users 404 in 105ms (compile: 12ms, render: 93ms)
 GET /api/guilds 404 in 115ms (compile: 45ms, render: 70ms)
 GET /api/me 404 in 120ms (compile: 24ms, render: 95ms)
 GET /api/activity 404 in 107ms (compile: 52ms, render: 55ms)
 GET /api/chats 404 in 72ms (compile: 31ms, render: 41ms)
 GET /api/config 404 in 17ms (compile: 3ms, render: 15ms)
 POST /api/internal/discord/role_sync/pull 200 in 137ms (compile: 1883µs, render: 135ms)
 POST /api/internal/discord/events/pull 200 in 135ms (compile: 3ms, render: 133ms)
 POST /api/internal/discord/role_sync/pull 200 in 211ms (compile: 2ms, render: 209ms)
 POST /api/internal/discord/events/pull 200 in 223ms (compile: 3ms, render: 220ms)
 POST /api/internal/discord/events/pull 200 in 153ms (compile: 3ms, render: 150ms)
 POST /api/internal/discord/role_sync/pull 200 in 142ms (compile: 4ms, render: 138ms)
 POST /api/internal/discord/events/pull 200 in 162ms (compile: 3ms, render: 160ms)
 POST /api/internal/discord/role_sync/pull 200 in 216ms (compile: 3ms, render: 213ms)
 POST /api/internal/discord/events/pull 200 in 225ms (compile: 3ms, render: 222ms)
 POST /api/internal/discord/role_sync/pull 200 in 135ms (compile: 3ms, render: 132ms)
 POST /api/internal/discord/events/pull 200 in 173ms (compile: 3ms, render: 171ms)
